car_mark,in_stock,part_full_name,part_url,price,website,year
"
                                    MERCEDES",not_stock,მაშუქი უკანა მარცხენა - MERCEDES W203 C-CL 2004-2007,https://autopia.ge/ka/product/ME0274162,160₾ ,https://autopia.ge,"
                                    2004-2007 "
"
                                    MERCEDES",in_stock,კაპოტქვეშა პანელი - MERCEDES W124 E-CL 1989-1992,https://autopia.ge/ka/product/ME0323201,37₾ ,https://autopia.ge,"
                                    1989-1992 "
"
                                    MERCEDES",not_stock,საქარე მინა სენსორიანი - MERCEDES ATEGO 2004-,https://autopia.ge/ka/product/ATEGO,450₾ ,https://autopia.ge,"
                                    2004- "
"
                                    MERCEDES",in_stock,საქარე მინა სენსორით CRAFTER 2006-2018 - MERCEDES SPRINTER 2006-,https://autopia.ge/ka/product/ME018016,198₾ ,https://autopia.ge,"
                                    2006- "
"
                                    MERCEDES",not_stock,ბამპერი წინა - MERCEDES SPRINTER 2000-2006,https://autopia.ge/ka/product/ME9171001,164₾ ,https://autopia.ge,"
                                    2000-2006 "
"
                                    MERCEDES",in_stock,საქარე მინა მაღალჭერიანი - MERCEDES SPRINTER 1995-2006,https://autopia.ge/ka/product/BENZ314%20LFWX,148₾ ,https://autopia.ge,"
                                    1995-2006 "
"
                                    MERCEDES",not_stock,საქარე მინა სენსორიანი - MERCEDES ACTROS 1996-2013,https://autopia.ge/ka/product/ACTROS,450₾ ,https://autopia.ge,"
                                    1996-2013 "
"
                                    MERCEDES",in_stock,ფარი წინა მარჯვენა - MERCEDES VITO 2015-,https://autopia.ge/ka/product/20-F015-05-2B,265₾ ,https://autopia.ge,"
                                    2015- "
"
                                    JEEP",in_stock,საქარე მინა სენსორით - JEEP LIBERTY 2008-,https://autopia.ge/ka/product/JP247900,164₾ ,https://autopia.ge,"
                                    2008- "
"
                                    JEEP",in_stock,საქარე მინა - JEEP LIBERTY 2002-2007,https://autopia.ge/ka/product/JELIBERTY,154₾ ,https://autopia.ge,"
                                    2002-2007 "
"
                                    MAN",not_stock,საქარე მინა - MAN L2000 2000-,https://autopia.ge/ka/product/MAN2000,450₾ ,https://autopia.ge,"
                                    2000- "
"
                                    MAN",in_stock,საქარე მინა - MAN L2000 1993-1996,https://autopia.ge/ka/product/MAN,450₾ ,https://autopia.ge,"
                                    1993-1996 "
"
                                    MASERATI",in_stock,საქარე მინა სენსორით - MASERATI QUATTROPORTE/GHIBLI 2017-,https://autopia.ge/ka/product/MS018004,698₾ ,https://autopia.ge,"
                                    2017- "
"
                                    MASERATI",in_stock,საბარგულის მინა გამათბობლით - MASERATI GHIBLY QUATTROPORTE 2013-2021,https://autopia.ge/ka/product/MS018002,998₾ ,https://autopia.ge,"
                                    2013- "
"
                                    LEXUS",in_stock,საქარე მინა გამათბობლით - LEXUS RC COUPE 2016-,https://autopia.ge/ka/product/LX016011,334₾ ,https://autopia.ge,"
                                    2016- "
"
                                    LEXUS",in_stock,რადიატორის სამაგრი ზედა - LEXUS GS 2012-2020,https://autopia.ge/ka/product/LX-GS13-RS-UP,188₾ ,https://autopia.ge,"
                                    2012-2020 "
"
                                    HYUNDAI",in_stock,საქარე მინა გამათბობლით - HYUNDAI H350/SOLATI 2016-,https://autopia.ge/ka/product/HN011009,394₾ ,https://autopia.ge,"
                                    2016- "
"
                                    LEXUS",in_stock,კარები საბარგულის - LEXUS GS 2012-2020,https://autopia.ge/ka/product/LX-GS13-T,554₾ ,https://autopia.ge,"
                                    2012-2020 "
"
                                    LEXUS",in_stock,კაპოტი - LEXUS GS 2012-2020,https://autopia.ge/ka/product/LX-GS13-H,784₾ ,https://autopia.ge,"
                                    2012-2020 "
"
                                    LEXUS",in_stock,ფრთა წინა მარჯვენა - LEXUS GS 2012-2020,https://autopia.ge/ka/product/LX-GS13-FF2,284₾ ,https://autopia.ge,"
                                    2012-2020 "
"
                                    LEXUS",in_stock,ფრთა წინა მარცხენა - LEXUS GS 2012-2020,https://autopia.ge/ka/product/LX-GS13-FF1,284₾ ,https://autopia.ge,"
                                    2012-2020 "
"
                                    LEXUS",in_stock,საქარე მინა  2 სენსორით და გამათბობლით - LEXUS GS 2012-2020,https://autopia.ge/ka/product/LX016003,284₾ ,https://autopia.ge,"
                                    2012-2020 "
"
                                    MASERATI",in_stock,საქარე მინა ორი სენსორით - MASERATI QUATTROPORTE/GHIBLI 2013-,https://autopia.ge/ka/product/MS018003,598₾ ,https://autopia.ge,"
                                    2013- "
"
                                    MERCEDES",in_stock,ფარი წინა მარცხენა - MERCEDES VITO 2015-,https://autopia.ge/ka/product/20-F016-05-2B,265₾ ,https://autopia.ge,"
                                    2015- "
"
                                    MERCEDES",not_stock,ბრეკეტი წინა მარჯვენა - MERCEDES VITO 2015-,https://autopia.ge/ka/product/BZ803000812,44₾ ,https://autopia.ge,"
                                    2015- "
"
                                    MERCEDES",in_stock,ბრეკეტი წინა მარცხენა - MERCEDES VITO 2015-,https://autopia.ge/ka/product/BZ803000811,44₾ ,https://autopia.ge,"
                                    2015- "
"
                                    MERCEDES",not_stock,ბრეკეტი წინა მარჯვენა - MERCEDES VITO 2015-,https://autopia.ge/ka/product/BZ803000802,38₾ ,https://autopia.ge,"
                                    2015- "
"
                                    MERCEDES",not_stock,ბრეკეტი წინა მარცხენა - MERCEDES VITO 2015-,https://autopia.ge/ka/product/BZ803000801,38₾ ,https://autopia.ge,"
                                    2015- "
"
                                    MERCEDES",in_stock,ბამპერის საფარი პლასმასი - MERCEDES VITO 2015-,https://autopia.ge/ka/product/BZ803130300,99₾ ,https://autopia.ge,"
                                    2015- "
"
                                    MERCEDES",not_stock,კაპოტის ნიკელი - MERCEDES VITO 2015-,https://autopia.ge/ka/product/BZ803030100,65₾ ,https://autopia.ge,"
                                    2015- "
"
                                    MERCEDES",not_stock,რადიატორის სამაგრი - MERCEDES VITO 2015-,https://autopia.ge/ka/product/BZ803100000,238₾ ,https://autopia.ge,"
                                    2015- "
"
                                    MERCEDES",in_stock,საქარე მინა სენსორით და კამერით - MERCEDES VITO 2015-,https://autopia.ge/ka/product/ME018017,255₾ ,https://autopia.ge,"
                                    2015- "
